id,orderdate,status,onlineorderflag,customerid,salesperson_id,salesterritory_id,currencyrateid,totaldue,rowguid,modifieddate
43659,2011-05-31 00:00:00.000000,5,false,29825,279,5,,23153.2339,79b65321-39ca-4115-9cba-8fe0903e12e6,2011-06-07 00:00:00.000000
43660,2011-05-31 00:00:00.000000,5,false,29672,279,5,,1457.3288,738dc42d-d03b-48a1-9822-f95a67ea7389,2011-06-07 00:00:00.000000
43661,2011-05-31 00:00:00.000000,5,false,29734,282,6,4,36865.8012,d91b9131-18a4-4a11-bc3a-90b6f53e9d74,2011-06-07 00:00:00.000000
43662,2011-05-31 00:00:00.000000,5,false,29994,282,6,4,32474.9324,4a1ecfc0-cc3a-4740-b028-1c50bb48711c,2011-06-07 00:00:00.000000
43663,2011-05-31 00:00:00.000000,5,false,29565,276,4,,472.3108,9b1e7a40-6ae0-4ad3-811c-a64951857c4b,2011-06-07 00:00:00.000000
43664,2011-05-31 00:00:00.000000,5,false,29898,280,1,,27510.4109,22a8a5da-8c22-42ad-9241-839489b6ef0d,2011-06-07 00:00:00.000000
43665,2011-05-31 00:00:00.000000,5,false,29580,283,1,,16158.6961,5602c304-853c-43d7-9e79-76e320d476cf,2011-06-07 00:00:00.000000
43666,2011-05-31 00:00:00.000000,5,false,30052,276,4,,5694.8564,e2a90057-1366-4487-8a7e-8085845ff770,2011-06-07 00:00:00.000000
43667,2011-05-31 00:00:00.000000,5,false,29974,277,3,,6876.3649,86d5237d-432d-4b21-8abc-671942f5789d,2011-06-07 00:00:00.000000
43668,2011-05-31 00:00:00.000000,5,false,29614,282,6,4,40487.7233,281cc355-d538-494e-9b44-461b36a826c6,2011-06-07 00:00:00.000000
43669,2011-05-31 00:00:00.000000,5,false,29747,283,1,,807.2585,fabfc5c2-e034-4e0e-a573-6f39e9fa0484,2011-06-07 00:00:00.000000
43670,2011-05-31 00:00:00.000000,5,false,29566,275,3,,6893.2549,573e52a7-573f-40b6-b695-6f3d242e0c6d,2011-06-07 00:00:00.000000
43671,2011-05-31 00:00:00.000000,5,false,29890,283,1,,9153.6054,005fda9d-62e1-4001-a4ac-a976a7905f94,2011-06-07 00:00:00.000000
43672,2011-05-31 00:00:00.000000,5,false,30067,282,6,4,6895.41,194202aa-8e15-4932-a2c4-7a7ac0713639,2011-06-07 00:00:00.000000
43673,2011-05-31 00:00:00.000000,5,false,29844,275,2,,4216.0258,c5cd3ae9-41f5-4b71-a3f1-d550b928572b,2011-06-07 00:00:00.000000
43674,2011-05-31 00:00:00.000000,5,false,29596,282,6,4,2955.0542,ce8bca02-f705-4aae-a446-5d8b660c3a1b,2011-06-07 00:00:00.000000
43675,2011-05-31 00:00:00.000000,5,false,29827,277,3,,6434.0848,9f2cf0ee-f2b8-44d4-897d-7641f4fbd649,2011-06-07 00:00:00.000000
43676,2011-05-31 00:00:00.000000,5,false,29811,275,5,,15992.7446,28c73732-d2fd-4f0d-a9a8-0e53595235f6,2011-06-07 00:00:00.000000
43677,2011-05-31 00:00:00.000000,5,false,29824,278,6,4,8773.681,95faaf28-6495-40b0-9789-466b195f2f96,2011-06-07 00:00:00.000000
43678,2011-05-31 00:00:00.000000,5,false,29889,281,4,,11036.3964,7f4b7542-638e-41ca-98d0-93018fe4df77,2011-06-07 00:00:00.000000
43679,2011-05-31 00:00:00.000000,5,false,29761,278,6,4,1481.1742,17d42d83-177d-4c7e-9c86-d2db69326e04,2011-06-07 00:00:00.000000
43680,2011-05-31 00:00:00.000000,5,false,29489,281,4,,12832.9009,9cbe5e7a-12d2-4dd4-b50c-1ffb4021c6e1,2011-06-07 00:00:00.000000
43681,2011-05-31 00:00:00.000000,5,false,29661,279,5,,15524.0686,c82fc32f-7e10-40d2-8a9f-3d932db42cd4,2011-06-07 00:00:00.000000
43682,2011-05-31 00:00:00.000000,5,false,29759,275,2,,4363.7107,cdc225d3-b639-4217-a7a4-3ded506fcebe,2011-06-07 00:00:00.000000
43683,2011-05-31 00:00:00.000000,5,false,29497,283,1,,48204.0662,f6e2abb3-6ff8-49a6-9506-0b051a4618a0,2011-06-07 00:00:00.000000
43684,2011-05-31 00:00:00.000000,5,false,29912,279,5,,6301.6258,3a2efba3-34e6-4cb5-b983-cb755aea05da,2011-06-07 00:00:00.000000
43685,2011-05-31 00:00:00.000000,5,false,30084,279,5,,3082.0191,c8098fe4-2910-4bd3-9251-e9aea7c7d118,2011-06-07 00:00:00.000000
43686,2011-05-31 00:00:00.000000,5,false,29606,283,1,,3899.6756,65ef22d9-1ad7-40f4-a984-b7f074b7a6cf,2011-06-07 00:00:00.000000
43687,2011-05-31 00:00:00.000000,5,false,29610,275,2,,1416.9322,d04c9a8a-85b4-48f5-8ace-d864d7eb94c7,2011-06-07 00:00:00.000000
43688,2011-05-31 00:00:00.000000,5,false,29718,275,2,,14323.1194,596dee2a-abcb-46d0-95b9-e5aff8c6c1f8,2011-06-07 00:00:00.000000
43689,2011-05-31 00:00:00.000000,5,false,29646,277,4,,38291.2063,d5628c44-bd37-4337-9412-3407c824df71,2011-06-07 00:00:00.000000
43690,2011-05-31 00:00:00.000000,5,false,29533,275,3,,1460.6061,68942478-3091-49d6-aa0f-c3a0aa4d49d0,2011-06-07 00:00:00.000000
43691,2011-05-31 00:00:00.000000,5,false,29570,277,4,,985.018,2eb93130-1226-4e8b-a2fd-1ad8d951d103,2011-06-07 00:00:00.000000
43692,2011-05-31 00:00:00.000000,5,false,29992,281,4,,43362.4196,edb9e3f0-0b76-4dbc-934e-9dabfba01ee5,2011-06-07 00:00:00.000000
43693,2011-05-31 00:00:00.000000,5,false,29491,275,5,,23126.45,49c3d13d-464f-49d0-b21a-a2c07145ec62,2011-06-07 00:00:00.000000
43694,2011-05-31 00:00:00.000000,5,false,29549,279,5,,23242.1865,ceaaa999-7157-449d-8665-142793421294,2011-06-07 00:00:00.000000
43695,2011-05-31 00:00:00.000000,5,false,29958,279,5,,44344.8265,f5fb98a9-a866-42ce-add8-6879231ed1a2,2011-06-07 00:00:00.000000
43696,2011-05-31 00:00:00.000000,5,false,29849,279,5,,472.3108,7c3e3b6d-e76e-470b-a75e-b20c25f86760,2011-06-07 00:00:00.000000
43697,2011-05-31 00:00:00.000000,5,true,21768,,6,4,3953.9884,bc58017d-0735-4e0e-8930-292290c37abd,2011-06-07 00:00:00.000000
43698,2011-05-31 00:00:00.000000,5,true,28389,,7,8,3756.989,0ae8a848-41d9-4e5e-8fe8-5cd23f14421e,2011-06-07 00:00:00.000000
43699,2011-05-31 00:00:00.000000,5,true,25863,,1,,3756.989,99b348bd-7700-4d3e-a531-4540c875a2bd,2011-06-07 00:00:00.000000
43700,2011-05-31 00:00:00.000000,5,true,14501,,4,,772.5036,5509a5b0-a6f3-4209-9728-148fb2d15d59,2011-06-07 00:00:00.000000
43701,2011-05-31 00:00:00.000000,5,true,11003,,9,2,3756.989,4b3a130d-02ae-47aa-a91e-726b39440613,2011-06-07 00:00:00.000000
43702,2011-06-01 00:00:00.000000,5,true,27645,,4,,3953.9884,9310c7f0-9a84-4ce9-be08-f700fb1aadf7,2011-06-08 00:00:00.000000
43703,2011-06-01 00:00:00.000000,5,true,16624,,9,15,3953.9884,cc630723-57f1-4e59-b1ef-bf77930b3906,2011-06-08 00:00:00.000000
43704,2011-06-01 00:00:00.000000,5,true,11005,,9,15,3729.364,b09af2d1-243d-444f-9784-fcfceb3fbb0a,2011-06-08 00:00:00.000000
43705,2011-06-01 00:00:00.000000,5,true,11011,,9,15,3756.989,17a0ede6-6f1a-419d-bcf9-3638b79166d0,2011-06-08 00:00:00.000000
43706,2011-06-02 00:00:00.000000,5,true,27621,,4,,3953.9884,f02c4cb6-a5b5-4ce4-9473-cb084e383196,2011-06-09 00:00:00.000000
43707,2011-06-02 00:00:00.000000,5,true,27616,,4,,3953.9884,0da77d6e-223e-4bc6-a2ed-43b387692c68,2011-06-09 00:00:00.000000
43708,2011-06-02 00:00:00.000000,5,true,20042,,10,35,772.5036,c9743a57-08a7-4494-a4bf-4b226c0b35ec,2011-06-09 00:00:00.000000
43709,2011-06-02 00:00:00.000000,5,true,16351,,9,28,3953.9884,5aa25d99-4ca5-4c80-bbb7-3d97664e2a80,2011-06-09 00:00:00.000000
43710,2011-06-02 00:00:00.000000,5,true,16517,,9,28,3953.9884,22220985-4182-4c6f-ae48-e920f72f6095,2011-06-09 00:00:00.000000
43711,2011-06-03 00:00:00.000000,5,true,27606,,1,,3953.9884,c8651cc4-7bf4-4013-94b2-2ea9feaac442,2011-06-10 00:00:00.000000
43712,2011-06-03 00:00:00.000000,5,true,13513,,8,45,3953.9884,725c5dfe-6eaa-43e3-9571-2b99692df51d,2011-06-10 00:00:00.000000
43713,2011-06-04 00:00:00.000000,5,true,27601,,4,,3953.9884,9de30294-9066-4988-a3ad-09a0713348e5,2011-06-11 00:00:00.000000
43714,2011-06-04 00:00:00.000000,5,true,13591,,10,61,3953.9884,40659773-9ce3-4214-9886-c9de75e40274,2011-06-11 00:00:00.000000
43715,2011-06-04 00:00:00.000000,5,true,16483,,9,54,3953.9884,36c19607-cc19-4cc0-8ea7-c16a6cc747dd,2011-06-11 00:00:00.000000
43716,2011-06-04 00:00:00.000000,5,true,16529,,9,54,3953.9884,92d7b8bf-071b-478e-a330-dec813c635f9,2011-06-11 00:00:00.000000
43717,2011-06-04 00:00:00.000000,5,true,25249,,9,54,772.5036,8cf612ef-31b8-4a57-8e57-5c62d48a0944,2011-06-11 00:00:00.000000
43718,2011-06-05 00:00:00.000000,5,true,27668,,1,,3953.9884,877141f0-4ae7-4fb3-b9e0-3ca2cc1a20c9,2011-06-12 00:00:00.000000
43719,2011-06-05 00:00:00.000000,5,true,27612,,4,,3953.9884,bf5155eb-c5be-4245-8fc4-f801db5b052d,2011-06-12 00:00:00.000000
43720,2011-06-05 00:00:00.000000,5,true,13264,,8,71,3953.9884,8832376e-105b-4696-8bb4-e6ec1aa20219,2011-06-12 00:00:00.000000
43721,2011-06-05 00:00:00.000000,5,true,13590,,10,74,3953.9884,3a8a408f-c18f-4ae3-b0c4-f3b82f5f3404,2011-06-12 00:00:00.000000
43722,2011-06-06 00:00:00.000000,5,true,13581,,10,87,3953.9884,681fec9e-c1fb-42c9-a96c-48c911b086dd,2011-06-13 00:00:00.000000
43723,2011-06-06 00:00:00.000000,5,true,14520,,1,,772.5036,4eb5ec63-d247-468f-b88b-c2e5c019d949,2011-06-13 00:00:00.000000
43724,2011-06-06 00:00:00.000000,5,true,16520,,9,80,3953.9884,62fcab48-3494-4af8-a1cb-5e2fe0929ff0,2011-06-13 00:00:00.000000
43725,2011-06-07 00:00:00.000000,5,true,13258,,8,97,3953.9884,607a7986-372a-4939-b2c3-694d8293d99d,2011-06-14 00:00:00.000000
43726,2011-06-07 00:00:00.000000,5,true,14560,,4,,772.5036,c857e6b2-50d6-4b20-92f2-0e5d0c79aba3,2011-06-14 00:00:00.000000
43727,2011-06-07 00:00:00.000000,5,true,16607,,9,93,3953.9884,7dfeec8e-63c7-4d87-9ecb-35c1a7ac3feb,2011-06-14 00:00:00.000000
43728,2011-06-08 00:00:00.000000,5,true,27666,,4,,3953.9884,1a9730f8-53ca-44a9-a692-6a009189157d,2011-06-15 00:00:00.000000
43729,2011-06-08 00:00:00.000000,5,true,11238,,10,113,3756.989,be1bd96b-b584-487a-a740-b096779f6c47,2011-06-15 00:00:00.000000
43730,2011-06-08 00:00:00.000000,5,true,25861,,4,,3756.989,af82e535-af8d-417f-ba33-620f49bee5de,2011-06-15 00:00:00.000000
43731,2011-06-08 00:00:00.000000,5,true,16629,,9,106,3953.9884,bb0f57ef-e9dc-4f10-bced-0270c6f4dd5a,2011-06-15 00:00:00.000000
43732,2011-06-08 00:00:00.000000,5,true,11025,,9,106,3729.364,80acd4e1-371e-4a58-90ca-ec866a828cf7,2011-06-15 00:00:00.000000
43733,2011-06-08 00:00:00.000000,5,true,27577,,1,,3953.9884,a97984df-2a16-4baa-b2ed-cd17490e9f93,2011-06-15 00:00:00.000000
43734,2011-06-09 00:00:00.000000,5,true,27604,,1,,3953.9884,c1813fdf-af79-4fba-8936-70cbd2964535,2011-06-16 00:00:00.000000
43735,2011-06-09 00:00:00.000000,5,true,16522,,9,119,3953.9884,98f80245-c398-4562-bdaf-ea3e9a0ddfac,2011-06-16 00:00:00.000000
43736,2011-06-09 00:00:00.000000,5,true,11002,,9,119,3756.989,c14e29e7-db11-44ef-943e-143925a5a9ae,2011-06-16 00:00:00.000000
43737,2011-06-10 00:00:00.000000,5,true,13261,,8,136,3953.9884,0b3e274d-e5a8-4e8c-a417-0eafabcff162,2011-06-17 00:00:00.000000
43738,2011-06-10 00:00:00.000000,5,true,11606,,7,138,3953.9884,2869c629-ebbd-47bc-87b1-a6871cd8c5cf,2011-06-17 00:00:00.000000
43739,2011-06-10 00:00:00.000000,5,true,13563,,10,139,3953.9884,9192752e-18f9-4afe-b4da-cfabf0e9f6ce,2011-06-17 00:00:00.000000
43740,2011-06-10 00:00:00.000000,5,true,16527,,9,132,3953.9884,1242ef55-1fe1-4501-b21b-ca74fc31053c,2011-06-17 00:00:00.000000
43741,2011-06-11 00:00:00.000000,5,true,27671,,1,,3953.9884,c674c190-0cda-46f5-aac1-a65d9f902572,2011-06-18 00:00:00.000000
43742,2011-06-11 00:00:00.000000,5,true,13576,,10,152,3953.9884,7b65fbc1-e19b-44ff-b5b3-4999c9f300b6,2011-06-18 00:00:00.000000
